                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 1.2792,                0.88491,                0.91634,                0.50818,                0.38188,                0.39953,                0.23947,                 1.2902,                0.93161,                0.92659,               0.001684,               0.001684,               0.001684
                     86,                 1.2746,                0.87909,                0.91436,                0.52082,                0.37846,                0.39932,                0.23832,                 1.2923,                0.93123,                0.92668,               0.001585,               0.001585,               0.001585
                     87,                 1.2792,                0.88655,                0.91638,                0.51229,                0.38149,                0.40016,                0.23925,                 1.2905,                0.93001,                0.92674,               0.001486,               0.001486,               0.001486
                     88,                 1.2711,                0.87678,                0.91565,                0.51101,                0.38299,                0.40007,                0.23936,                 1.2896,                0.92975,                0.92623,               0.001387,               0.001387,               0.001387
                     89,                 1.2717,                0.87472,                0.91527,                0.51058,                  0.384,                0.40002,                0.23983,                 1.2895,                0.93021,                0.92594,               0.001288,               0.001288,               0.001288
                     90,                  1.259,                0.85988,                0.91744,                 0.5111,                0.38157,                0.39876,                0.23876,                 1.2929,                0.93276,                0.92665,               0.001189,               0.001189,               0.001189
                     91,                 1.2461,                0.84663,                0.91557,                 0.5135,                 0.3783,                0.39719,                 0.2378,                 1.2936,                0.93359,                0.92658,                0.00109,                0.00109,                0.00109
                     92,                 1.2496,                0.84442,                0.91577,                0.50737,                0.37814,                0.39736,                0.23798,                 1.2939,                 0.9336,                0.92689,               0.000991,               0.000991,               0.000991
                     93,                 1.2427,                0.83973,                 0.9128,                0.50527,                0.37875,                0.39721,                0.23843,                 1.2935,                0.93112,                 0.9266,               0.000892,               0.000892,               0.000892
                     94,                 1.2413,                0.83716,                0.91287,                0.50185,                0.38406,                0.39766,                0.23904,                 1.2942,                0.93069,                0.92679,               0.000793,               0.000793,               0.000793
                     95,                 1.2377,                0.83199,                0.91211,                 0.5079,                0.38266,                0.39836,                0.23932,                 1.2942,                0.93056,                 0.9268,               0.000694,               0.000694,               0.000694
                     96,                 1.2341,                0.82853,                0.91147,                0.51073,                0.38239,                0.39888,                0.23881,                 1.2942,                0.93066,                0.92656,               0.000595,               0.000595,               0.000595
                     97,                 1.2351,                0.82968,                0.91114,                0.51029,                0.38382,                0.39813,                0.23875,                 1.2945,                0.93095,                0.92641,               0.000496,               0.000496,               0.000496
                     98,                 1.2312,                0.82362,                0.91044,                0.51064,                0.38112,                0.39822,                0.23888,                 1.2954,                0.93113,                 0.9266,               0.000397,               0.000397,               0.000397
                     99,                 1.2317,                  0.823,                0.91114,                0.50897,                0.38231,                0.39777,                0.23838,                 1.2959,                0.93177,                0.92676,               0.000298,               0.000298,               0.000298
